sampleID	x	y
83CA2P055	-93.43597367	36.14646699
83CA2P056	-93.52180522	36.36214291
83CA2P057	-93.32444718	36.30416061
83CA2P058	-93.32532596	36.21690615
83CA2P059	-93.4962275	36.39724014
83CA2P060	-93.31735623	36.1603275
83CA3U062	-92.41080353	33.36327663
83CA3U063	-92.40814324	33.38786956
83CA3U065	-92.47046959	33.41841203
83CA3U066	-92.59054028	33.5433007
83CA3U067	-92.49084049	33.38160692
83CA3U068	-92.41080353	33.36327663
83CA3U069	-92.4976587	33.40556388
83CA3U070	-92.4976587	33.40556388
83CA3U071	-92.49973528	33.41851546
83CA3U072	-92.45535319	33.39330809
83CA3U073	-92.49047747	33.43827583
83CA3U074	-92.48170027	33.39820135
83CA3U075	-92.4886488	33.35194112
83CA3U076	-92.45535319	33.39330809
83CB2N001	-91.85772111	35.59338636
83CB2N002	-92.17314136	35.40222827
83CB2N003	-92.13606201	35.42702556
83CB2N004	-92.05180584	35.45960063
83CB2N005	-91.98866108	35.4480972
83CB2N006	-91.966978	35.44626362
83CB2N007	-92.00803038	35.5038343
83CB2N008	-91.94769437	35.44469954
83CB4N011	-92.16175461	35.40327685
83CG5N016	-90.64038165	35.87571523
83CH2N001	-91.1168199	33.14817973
83CH2N002	nan	nan
83CH3N003	-91.20038576	33.28287695
83CH3N004	-91.22722392	33.07065449
83CL2N001	-92.19857917	34.05574877
83CL2N002	-91.99674007	33.75949638
83CL2N003	-92.04130247	34.0387233
83CL3N004	-92.22834002	33.90041271
83CL3N005	-91.99576145	33.78414561
83CL3N006	-91.99877919	33.79954701
83CL3N010	-93.02200985	34.10740361
83CL3N011	-93.44950874	34.26084537
83CL3N012	-93.4785002	34.26491115
83CL3N013	-93.39674216	34.14504005
83CL3N014	-93.39267656	34.14782184
83CL3U009	-93.38920777	34.15070081
83CL3U015	-93.20333422	34.1699984
83CL3U016	nan	nan
83CL4N007	-92.03860036	33.91220004
83CL5N018	-93.24118093	34.09016848
83CN1N001	-93.004421	35.08625055
83CN1N002	-92.77035831	35.36781691
83CN1N003	-92.66875169	35.13035235
83CN2N004	-92.70154904	35.26227668
83CN2N005	-92.79945147	35.37729132
83CN2N006	-92.6771547	35.25093377
83CN3N007	-92.84735123	35.22629985
83CN3N008	-92.80312719	35.22348579
83CN3N009	-92.71298949	35.14167356
83CN3N010	-92.70595888	35.19185519
83CN5N020	-92.66888419	35.30871924
83CO3N001	-93.35464955	33.31696747
83CO3N002	-93.35464955	33.31696747
83CO3U003	-93.2763632	33.31707608
83CO3U004	-93.19592338	33.13710803
83CR2N001	-92.82399656	35.26328319
83CR3N003	-90.41616125	35.8095653
83CR3N004	-90.75556009	35.83972243
83CR3N005	-90.64621807	35.88170675
83CR3N006	-90.57701229	35.94502911
83CR3N007	-90.55569066	35.92183754
83CR3N009	-90.71462895	35.84797355
83CR3N010	-90.74360862	35.82588741
83CR3N011	-90.88256418	35.79375703
83CR3N013	-90.684196	35.76179465
83CR3N014	-90.42294165	35.72639123
83CR3U015	-90.39970592	35.81231984
83CS2N001	-90.74085791	35.21213738
83CS2N002	-90.72788969	35.23719889
83CS2N003	-90.53684713	35.35850499
83CS3N004	-90.74509904	35.20110198
83CS3N005	-90.71904155	35.24358605
83CS3N006	-90.75470601	35.29423998
83CS3N007	-90.76371501	35.28641101
83CS3N008	-90.70310105	35.21798299
83CS3N009	-90.75760087	35.26270608
83CS4N010	-90.75679879	35.30413178
83CS4N011	-90.77144007	35.24098387
83CT2N001	-90.33375306	35.05757415
83CT2N002	-90.29416317	35.07266954
83CT2N003	nan	nan
83CT2N004	-90.11289791	35.23558499
83CT2N005	-90.19346989	35.17395457
83CT3N006	-90.34034038	34.90326198
83CT3N007	-90.34524111	34.90125987
83CT3N008	-90.10758298	35.22995992
83CT5N009	-90.33012608	34.92268877
83CV5N019	-91.9847583	33.80678262
83CW2N001	-94.18253179	35.59314234
83CW2N002	-94.44554657	35.68027662
83CW2N003	-94.37813245	35.61410822
83CW2N004	-94.17201544	35.66068396
83CW2N005	-94.20982204	35.68132584
83CW2N006	-94.14764697	35.68785804
83CW3N007	-94.356956	35.59971611
83CW3N008	-94.20045119	35.72407318
83CW3N009	-94.09041435	35.52447913
83CW4N010	-90.98313178	35.73579264
83CW4N011	-94.33296564	35.56691403
83CW5P012	nan	nan
83CY3N002	-90.47314603	36.27475687
83CY3N003	-90.34207148	36.35244091
83CY3U001	-90.49968198	36.44222357
83CY3U004	-90.33036941	36.27747505
83CY3U005	-90.31581416	36.27346288
83CY3U006	-90.33036941	36.27747505
83CY3U007	-90.31581416	36.27346288
